groupcode,schoolname,GroupLeader,FirstName,LastName,age,Gender,eventcode,eventname,score
G001,"Alden Page High","Ivory Peck",Catherine,Stevenson,8,F,E098,"Young Athletes",0
G001,"Alden Page High","Ivory Peck",Catherine,Stevenson,8,F,E099,"Olympic Town",0
G001,"Alden Page High","Ivory Peck",Eleanor,Holden,8,F,E098,"Young Athletes",0
G001,"Alden Page High","Ivory Peck",Eleanor,Holden,8,F,E099,"Olympic Town",0
G001,"Alden Page High","Ivory Peck",Idona,Abbott,8,F,E001,"50 Meter Dash",24
G001,"Alden Page High","Ivory Peck",Idona,Abbott,8,F,E015,"Softball Throw",402
G001,"Alden Page High","Ivory Peck",Tana,Mcmahon,8,F,E098,"Young Athletes",0
G001,"Alden Page High","Ivory Peck",Tana,Mcmahon,8,F,E099,"Olympic Town",0
G002,"Colt Becker High","Isaac Roberson",Bianca,Parrish,10,F,E001,"50 Meter Dash",13
G002,"Colt Becker High","Isaac Roberson",Bianca,Parrish,10,F,E015,"Softball Throw",909
G002,"Colt Becker High","Isaac Roberson",Dacey,Colon,10,F,E001,"50 Meter Dash",14
G002,"Colt Becker High","Isaac Roberson",Dacey,Colon,10,F,E015,"Softball Throw",606
G002,"Colt Becker High","Isaac Roberson",Daphne,Christian,9,F,E001,"50 Meter Dash",14
G002,"Colt Becker High","Isaac Roberson",Daphne,Christian,9,F,E015,"Softball Throw",1300
G002,"Colt Becker High","Isaac Roberson",Kylee,Carson,11,F,E001,"50 Meter Dash",14
G002,"Colt Becker High","Isaac Roberson",Kylee,Carson,11,F,E015,"Softball Throw",1906
G002,"Colt Becker High","Isaac Roberson",Kylynn,Carter,12,F,E001,"50 Meter Dash",11
G002,"Colt Becker High","Isaac Roberson",Kylynn,Carter,12,F,E015,"Softball Throw",2600
G002,"Colt Becker High","Isaac Roberson",Lee,Poole,11,F,E001,"50 Meter Dash",12
G002,"Colt Becker High","Isaac Roberson",Lee,Poole,11,F,E015,"Softball Throw",2209
G002,"Colt Becker High","Isaac Roberson",Maia,Mckay,6,F,E098,"Young Athletes",0
G002,"Colt Becker High","Isaac Roberson",Maia,Mckay,6,F,E099,"Olympic Town",0
G002,"Colt Becker High","Isaac Roberson",Maile,Cunningham,12,F,E001,"50 Meter Dash",15
G002,"Colt Becker High","Isaac Roberson",Maile,Cunningham,12,F,E015,"Softball Throw",1603
G002,"Colt Becker High","Isaac Roberson",Ruth,Morales,11,F,E001,"50 Meter Dash",11
G002,"Colt Becker High","Isaac Roberson",Ruth,Morales,11,F,E015,"Softball Throw",606
G002,"Colt Becker High","Isaac Roberson",Tamara,Stevens,10,F,E001,"50 Meter Dash",12
G002,"Colt Becker High","Isaac Roberson",Tamara,Stevens,10,F,E015,"Softball Throw",606
G002,"Colt Becker High","Isaac Roberson",Vera,Dickson,9,F,E001,"50 Meter Dash",12
G002,"Colt Becker High","Isaac Roberson",Vera,Dickson,9,F,E015,"Softball Throw",606
G003,"Berea El","Leslie Harper",Brenna,Griffin,1,F,E002,"100 Meter Dash",36
G003,"Berea El","Leslie Harper",Brenna,Griffin,1,F,E015,"Softball Throw",1607
G003,"Berea El","Leslie Harper",Clio,Shaffer,11,F,E007,"100 Meter Walk",42
G003,"Berea El","Leslie Harper",Clio,Shaffer,11,F,E015,"Softball Throw",2405
G003,"Berea El","Leslie Harper",Daphne,Patterson,10,F,E003,"200 Meter Dash",46
G003,"Berea El","Leslie Harper",Daphne,Patterson,10,F,E015,"Softball Throw",1205
G003,"Berea El","Leslie Harper",Emily,Brooks,10,F,E003,"200 Meter Dash",59
G003,"Berea El","Leslie Harper",Emily,Brooks,10,F,E015,"Softball Throw",1909
G003,"Berea El","Leslie Harper",Georgia,Russell,11,F,E003,"200 Meter Dash",104
G003,"Berea El","Leslie Harper",Georgia,Russell,11,F,E007,"100 Meter Walk",43
G003,"Berea El","Leslie Harper",Ingrid,Mathews,12,F,E002,"100 Meter Dash",51
G003,"Berea El","Leslie Harper",Ingrid,Mathews,12,F,E015,"Softball Throw",1302
G003,"Berea El","Leslie Harper",Irma,Blevins,11,F,E002,"100 Meter Dash",42
G003,"Berea El","Leslie Harper",Irma,Blevins,11,F,E015,"Softball Throw",2500
G003,"Berea El","Leslie Harper",Jada,Sims,8,F,E099,"Olympic Town",0
G003,"Berea El","Leslie Harper",Jael,Ball,11,F,E002,"100 Meter Dash",42
G003,"Berea El","Leslie Harper",Jael,Ball,11,F,E015,"Softball Throw",1102
G003,"Berea El","Leslie Harper",Kendall,Frank,11,F,E003,"200 Meter Dash",128
G003,"Berea El","Leslie Harper",Kendall,Frank,11,F,E015,"Softball Throw",1708
G003,"Berea El","Leslie Harper",MacKenzie,Finch,11,F,E003,"200 Meter Dash",54
G003,"Berea El","Leslie Harper",MacKenzie,Finch,11,F,E015,"Softball Throw",3106
G003,"Berea El","Leslie Harper",Nadine,Vazquez,11,F,E003,"200 Meter Dash",46
G003,"Berea El","Leslie Harper",Nadine,Vazquez,11,F,E015,"Softball Throw",2206
G003,"Berea El","Leslie Harper",Nayda,Green,12,F,E003,"200 Meter Dash",53
G003,"Berea El","Leslie Harper",Nayda,Green,12,F,E015,"Softball Throw",2606
G003,"Berea El","Leslie Harper",Nicole,Gay,11,F,E099,"Olympic Town",0
G003,"Berea El","Leslie Harper",Ora,Logan,1,F,E003,"200 Meter Dash",49
G003,"Berea El","Leslie Harper",Ora,Logan,1,F,E015,"Softball Throw",3104
G003,"Berea El","Tanisha West",Adara,Charles,9,F,E001,"50 Meter Dash",52
G003,"Berea El","Tanisha West",Adara,Charles,9,F,E015,"Softball Throw",711
G003,"Berea El","Tanisha West",Alice,Harris,10,F,E001,"50 Meter Dash",58
G003,"Berea El","Tanisha West",Alice,Harris,10,F,E015,"Softball Throw",1104
G003,"Berea El","Tanisha West",Cora,Logan,13,F,E003,"200 Meter Dash",120
G003,"Berea El","Tanisha West",Cora,Logan,13,F,E015,"Softball Throw",8711
G003,"Berea El","Tanisha West",Darrel,Dyer,11,F,E001,"50 Meter Dash",53
G003,"Berea El","Tanisha West",Darrel,Dyer,11,F,E015,"Softball Throw",1504
G003,"Berea El","Tanisha West",Genevieve,Watson,12,F,E001,"50 Meter Dash",48
G003,"Berea El","Tanisha West",Genevieve,Watson,12,F,E015,"Softball Throw",1705
G003,"Berea El","Tanisha West",Larissa,Sawyer,12,F,E021,Developmental,0
G003,"Berea El","Tanisha West",Larissa,Sawyer,12,F,E099,"Olympic Town",0
G003,"Berea El","Tanisha West",Sonya,Lang,10,F,E001,"50 Meter Dash",58
G003,"Berea El","Tanisha West",Sonya,Lang,10,F,E015,"Softball Throw",703
G004,"Kibo Dawson El","Stacey Leon",Aspen,Berger,11,F,E001,"50 Meter Dash",15
G004,"Kibo Dawson El","Stacey Leon",Aspen,Berger,11,F,E015,"Softball Throw",2600
G004,"Kibo Dawson El","Stacey Leon",Belle,Kline,11,F,E001,"50 Meter Dash",19
G004,"Kibo Dawson El","Stacey Leon",Belle,Kline,11,F,E015,"Softball Throw",2602
G004,"Kibo Dawson El","Stacey Leon",Cheryl,Roach,9,F,E001,"50 Meter Dash",15
G004,"Kibo Dawson El","Stacey Leon",Cheryl,Roach,9,F,E015,"Softball Throw",2302
G004,"Kibo Dawson El","Stacey Leon",Christine,Fry,8,F,E098,"Young Athletes",0
G004,"Kibo Dawson El","Stacey Leon",Christine,Fry,8,F,E099,"Olympic Town",0
G004,"Kibo Dawson El","Stacey Leon",Eden,Wiggins,8,F,E098,"Young Athletes",0
G004,"Kibo Dawson El","Stacey Leon",Eden,Wiggins,8,F,E099,"Olympic Town",0
G004,"Kibo Dawson El","Stacey Leon",Germaine,Frye,12,F,E001,"50 Meter Dash",21
G004,"Kibo Dawson El","Stacey Leon",Germaine,Frye,12,F,E015,"Softball Throw",1002
G004,"Kibo Dawson El","Stacey Leon",Hanna,Howard,10,F,E001,"50 Meter Dash",14
G004,"Kibo Dawson El","Stacey Leon",Hanna,Howard,10,F,E015,"Softball Throw",2500
G004,"Kibo Dawson El","Stacey Leon",Jaden,Hyde,11,F,E001,"50 Meter Dash",13
G004,"Kibo Dawson El","Stacey Leon",Jaden,Hyde,11,F,E015,"Softball Throw",2708
G004,"Kibo Dawson El","Stacey Leon",Katell,Petty,8,F,E098,"Young Athletes",0
G004,"Kibo Dawson El","Stacey Leon",Katell,Petty,8,F,E099,"Olympic Town",0
G004,"Kibo Dawson El","Stacey Leon",Lareina,Powell,11,F,E001,"50 Meter Dash",20
G004,"Kibo Dawson El","Stacey Leon",Lareina,Powell,11,F,E015,"Softball Throw",1201
G004,"Kibo Dawson El","Stacey Leon",Margaret,Pate,6,F,E098,"Young Athletes",0
G004,"Kibo Dawson El","Stacey Leon",Margaret,Pate,6,F,E099,"Olympic Town",0
G004,"Kibo Dawson El","Stacey Leon",Robin,Hewitt,11,F,E001,"50 Meter Dash",13
G004,"Kibo Dawson El","Stacey Leon",Robin,Hewitt,11,F,E015,"Softball Throw",1500
G004,"Kibo Dawson El","Stacey Leon",Shana,Murphy,12,F,E001,"50 Meter Dash",12
G004,"Kibo Dawson El","Stacey Leon",Shana,Murphy,12,F,E015,"Softball Throw",2105
G004,"Kibo Dawson El","Stacey Leon",Whoopi,Walker,10,F,E001,"50 Meter Dash",19
G004,"Kibo Dawson El","Stacey Leon",Whoopi,Walker,10,F,E015,"Softball Throw",1408
G005,"Maia Barrera El","Hanna Gould",Amal,Vaughn,12,M,E002,"100 Meter Dash",29
G005,"Maia Barrera El","Hanna Gould",Amal,Vaughn,12,M,E015,"Softball Throw",3800
G005,"Maia Barrera El","Hanna Gould",Barclay,Reese,11,M,E001,"50 Meter Dash",15
G005,"Maia Barrera El","Hanna Gould",Barclay,Reese,11,M,E015,"Softball Throw",4300
G005,"Maia Barrera El","Hanna Gould",Brent,Barton,11,M,E002,"100 Meter Dash",25
G005,"Maia Barrera El","Hanna Gould",Brent,Barton,11,M,E015,"Softball Throw",4200
G005,"Maia Barrera El","Hanna Gould",Cameron,Gutierrez,13,M,E003,"200 Meter Dash",57
G005,"Maia Barrera El","Hanna Gould",Cameron,Gutierrez,13,M,E015,"Softball Throw",6200
G005,"Maia Barrera El","Hanna Gould",Cooper,Aguilar,12,M,E002,"100 Meter Dash",26
G005,"Maia Barrera El","Hanna Gould",Cooper,Aguilar,12,M,E015,"Softball Throw",2000
G005,"Maia Barrera El","Hanna Gould",Cullen,Dodson,13,M,E003,"200 Meter Dash",100
G005,"Maia Barrera El","Hanna Gould",Cullen,Dodson,13,M,E015,"Softball Throw",5500
G005,"Maia Barrera El","Hanna Gould",Josiah,Joyce,12,M,E001,"50 Meter Dash",18
G005,"Maia Barrera El","Hanna Gould",Josiah,Joyce,12,M,E015,"Softball Throw",1500
G005,"Maia Barrera El","Hanna Gould",Justin,Dunn,13,M,E003,"200 Meter Dash",102
G005,"Maia Barrera El","Hanna Gould",Justin,Dunn,13,M,E015,"Softball Throw",4000
G005,"Maia Barrera El","Hanna Gould",Mannix,Garcia,12,M,E003,"200 Meter Dash",48
G005,"Maia Barrera El","Hanna Gould",Mannix,Garcia,12,M,E015,"Softball Throw",5000
G005,"Maia Barrera El","Hanna Gould",Myles,Holloway,11,M,E001,"50 Meter Dash",15
G005,"Maia Barrera El","Hanna Gould",Myles,Holloway,11,M,E015,"Softball Throw",3300
G005,"Maia Barrera El","Hanna Gould",Palmer,Alford,13,M,E002,"100 Meter Dash",27
